"Table 2.3.5. Personal Consumption Expenditures by Major Type of Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2017 - Next Release Date March 30, 2017"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1","        Personal consumption expenditures (PCE)",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89.0,99.9,108.6,120.0,144.3,162.0,175.0,178.5,192.2,208.5,219.5,233.0,239.9,258.7,271.6,286.7,296.0,317.5,331.6,342.0,363.1,382.5,411.2,443.6,480.6,507.4,557.4,604.5,647.7,701.0,769.4,851.1,932.0,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471.0,4741.0,4984.2,5268.1,5560.7,5903.0,6307.0,6792.4,7103.1,7384.1,7765.5,8260.0,8794.1,9304.0,9750.5,10013.6,9847.0,10202.2,10689.3,11050.6,11361.2,11863.4,12283.7,12753.1
"2","Goods",43.8,38.2,31.7,24.1,23.8,28.5,31.6,36.0,38.4,36.0,37.9,40.6,47.4,51.0,56.3,60.5,67.6,86.2,99.4,107.4,108.1,116.8,124.8,128.8,134.8,135.8,147.4,152.2,159.6,161.6,172.6,177.0,178.8,189.0,198.2,212.3,229.7,249.6,259.0,284.6,304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.8,2108.7,2286.8,2452.9,2525.2,2598.6,2721.6,2900.3,3080.3,3235.8,3361.6,3375.7,3198.4,3362.8,3596.5,3739.1,3834.5,3970.5,4012.1,4097.5
"3","    Durable goods",9.8,7.7,5.9,4.0,3.8,4.6,5.5,6.7,7.4,6.1,7.2,8.3,10.3,7.6,7.5,7.7,9.1,17.1,21.8,24.5,26.6,32.4,31.7,31.2,34.6,33.7,40.7,40.2,42.0,39.5,44.9,45.6,44.2,49.5,54.2,59.6,66.4,71.7,74.0,84.8,90.5,90.0,102.4,116.4,130.5,130.2,142.2,168.6,192.0,213.3,226.3,226.4,243.9,253.0,295.0,342.2,380.4,421.4,442.0,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,779.3,855.6,912.6,941.5,985.4,1017.5,1079.8,1127.2,1156.1,1184.6,1102.3,1023.3,1070.7,1125.3,1191.9,1241.7,1294.8,1355.2,1402.9
"4","        Motor vehicles and parts",3.3,2.2,1.6,1.0,1.1,1.4,1.9,2.4,2.5,1.7,2.2,2.8,3.5,0.7,0.8,0.8,1.0,4.1,6.5,7.9,10.5,13.7,12.1,11.4,13.8,12.7,17.7,15.7,17.5,15.0,18.8,19.6,17.7,21.4,24.2,25.8,29.6,29.9,29.6,35.4,37.4,34.5,43.2,49.4,54.4,48.2,52.6,68.2,79.8,89.2,90.2,84.4,93.0,100.0,122.9,147.2,170.1,187.5,188.2,202.2,207.8,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,409.3,410.0,395.0,400.6,339.6,317.1,342.0,363.5,395.8,416.1,442.8,464.8,474.6
"5","        Furnishings and durable household equipment",3.8,3.0,2.6,1.9,1.7,2.0,2.3,2.9,3.2,2.8,3.2,3.5,4.4,4.2,3.8,3.8,4.5,7.7,9.6,10.5,10.1,11.8,12.4,12.2,12.6,12.5,14.0,14.8,14.8,14.6,15.5,15.4,15.6,16.4,17.5,19.5,20.7,22.6,23.7,26.1,27.6,28.2,29.9,33.5,38.0,40.9,42.6,47.2,53.4,59.0,65.3,67.8,71.5,71.8,79.8,88.8,94.6,103.5,109.5,115.2,121.4,120.9,118.8,124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,235.2,254.3,271.3,283.6,283.5,268.7,244.3,250.4,260.7,271.4,281.6,292.1,305.1,316.5
"6","        Recreational goods and vehicles",1.5,1.4,0.9,0.5,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.2,1.0,1.0,1.2,2.5,3.0,3.1,3.2,4.1,4.1,4.3,4.7,4.9,5.3,5.7,5.8,5.9,6.4,6.4,6.6,6.9,7.6,8.8,10.1,12.3,13.6,15.3,16.7,17.9,19.2,22.6,25.3,26.6,30.4,34.2,37.7,41.7,45.8,46.5,49.9,51.3,58.7,67.8,74.1,83.0,91.8,99.9,103.9,105.6,107.7,111.0,123.5,140.3,153.7,164.9,174.6,191.4,210.9,230.9,234.9,244.8,259.2,284.1,305.0,324.1,335.8,329.3,303.8,312.7,321.0,336.6,348.1,358.8,376.6,393.1
"7","        Other durable goods",1.2,1.1,0.8,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.5,1.9,2.1,2.4,2.8,2.8,2.9,2.8,2.9,3.2,3.4,3.5,3.6,3.7,4.0,4.0,4.1,4.2,4.3,4.3,4.7,4.9,5.5,6.0,6.9,7.1,8.0,8.7,9.4,10.1,11.0,12.9,14.5,16.5,19.1,21.1,23.5,25.1,27.6,29.6,29.9,33.7,38.3,41.6,47.5,52.5,57.8,61.3,65.5,64.9,68.0,72.0,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,121.7,132.1,141.0,153.5,164.8,164.6,158.2,165.6,180.2,188.1,195.9,201.2,208.7,218.7
"8","    Nondurable goods",33.9,30.5,25.8,20.2,20.0,23.9,26.1,29.2,31.0,29.9,30.8,32.3,37.2,43.4,48.9,52.8,58.5,69.1,77.6,83.0,81.5,84.4,93.0,97.5,100.2,102.1,106.7,112.0,117.6,122.0,127.7,131.4,134.6,139.5,143.9,152.7,163.3,177.9,185.0,199.8,214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.2,1329.4,1431.2,1540.3,1583.7,1613.2,1704.0,1820.4,1953.1,2079.7,2176.9,2273.4,2175.1,2292.1,2471.1,2547.2,2592.8,2675.7,2656.9,2694.6
"9","        Food and beverages purchased for off-premises consumption",16.3,14.8,11.9,9.0,9.5,11.7,13.3,15.1,16.0,15.1,15.2,15.9,18.2,21.6,24.3,26.0,28.2,34.9,40.2,41.8,40.4,41.4,46.0,48.4,49.3,50.6,52.0,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4,103.5,107.1,114.5,126.7,143.0,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277.0,291.1,303.0,316.4,324.3,342.8,365.4,391.2,403.0,404.5,413.5,432.1,443.7,461.9,474.8,487.4,515.5,540.6,564.0,575.1,599.6,632.6,668.2,700.3,737.3,772.9,770.0,788.9,829.1,848.8,857.5,891.4,900.7,916.9
"10","        Clothing and footwear",9.0,7.8,6.7,4.9,4.5,5.5,5.8,6.3,6.6,6.5,6.9,7.2,8.5,10.6,12.9,14.1,15.9,17.5,18.0,19.3,18.6,18.9,20.5,21.2,21.3,21.4,22.4,23.4,23.6,23.9,25.4,25.9,26.6,27.9,28.6,31.1,32.7,35.8,37.5,41.3,44.3,45.5,49.0,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103.0,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,285.3,297.5,310.7,320.2,323.7,319.5,306.5,320.6,338.9,354.3,363.6,370.8,379.5,383.6
