"Table 2.4.5. Personal Consumption Expenditures by Type of Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 03, 2016"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"1","            Personal consumption expenditures",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89.0,99.9,108.6,120.0,144.3,162.0,175.0,178.5,192.2,208.5,219.5,233.0,239.9,258.7,271.6,286.7,296.0,317.5,331.6,342.0,363.1,382.5,411.2,443.6,480.6,507.4,557.4,604.5,647.7,701.0,769.4,851.1,932.0,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471.0,4741.0,4984.2,5268.1,5560.7,5903.0,6307.0,6792.4,7103.1,7384.1,7765.5,8260.0,8794.1,9304.0,9750.5,10013.6,9847.0,10202.2,10689.3,11050.6,11361.2,11863.4,12283.7
"2","Goods",43.8,38.2,31.7,24.1,23.8,28.5,31.6,36.0,38.4,36.0,37.9,40.6,47.4,51.0,56.3,60.5,67.6,86.2,99.4,107.4,108.1,116.8,124.8,128.8,134.8,135.8,147.4,152.2,159.6,161.6,172.6,177.0,178.8,189.0,198.2,212.3,229.7,249.6,259.0,284.6,304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.8,2108.7,2286.8,2452.9,2525.2,2598.6,2721.6,2900.3,3080.3,3235.8,3361.6,3375.7,3198.4,3362.8,3596.5,3739.1,3834.5,3970.5,4012.1
"3","    Durable goods",9.8,7.7,5.9,4.0,3.8,4.6,5.5,6.7,7.4,6.1,7.2,8.3,10.3,7.6,7.5,7.7,9.1,17.1,21.8,24.5,26.6,32.4,31.7,31.2,34.6,33.7,40.7,40.2,42.0,39.5,44.9,45.6,44.2,49.5,54.2,59.6,66.4,71.7,74.0,84.8,90.5,90.0,102.4,116.4,130.5,130.2,142.2,168.6,192.0,213.3,226.3,226.4,243.9,253.0,295.0,342.2,380.4,421.4,442.0,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,779.3,855.6,912.6,941.5,985.4,1017.5,1079.8,1127.2,1156.1,1184.6,1102.3,1023.3,1070.7,1125.3,1191.9,1241.7,1294.8,1355.2
"4","        Motor vehicles and parts",3.3,2.2,1.6,1.0,1.1,1.4,1.9,2.4,2.5,1.7,2.2,2.8,3.5,0.7,0.8,0.8,1.0,4.1,6.5,7.9,10.5,13.7,12.1,11.4,13.8,12.7,17.7,15.7,17.5,15.0,18.8,19.6,17.7,21.4,24.2,25.8,29.6,29.9,29.6,35.4,37.4,34.5,43.2,49.4,54.4,48.2,52.6,68.2,79.8,89.2,90.2,84.4,93.0,100.0,122.9,147.2,170.1,187.5,188.2,202.2,207.8,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,409.3,410.0,395.0,400.6,339.6,317.1,342.0,363.5,395.8,416.1,442.8,464.8
"5","            New motor vehicles (55)",2.6,1.7,1.2,0.6,0.8,1.0,1.5,2.0,2.0,1.2,1.7,2.2,2.7,0.1,0.1,0.1,0.0,2.2,4.3,5.4,8.0,10.7,9.0,8.3,11.4,11.1,14.2,12.0,13.0,10.1,13.6,14.5,12.5,15.6,17.9,19.0,22.2,22.0,21.1,26.0,26.8,23.4,30.5,35.2,38.7,31.7,34.6,46.6,55.9,62.7,61.4,54.3,59.1,64.3,82.9,99.7,117.8,134.0,128.8,138.2,139.3,134.7,112.9,126.7,138.9,151.2,147.5,153.0,162.2,179.4,200.1,210.7,230.0,243.6,251.6,252.4,248.9,233.0,233.2,185.2,165.6,182.3,207.9,237.0,250.0,266.1,277.3
"6","            Net purchases of used motor vehicles (56)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.3,0.3,0.5,0.8,1.3,1.3,1.5,1.6,1.4,1.0,0.3,1.9,2.0,2.5,2.8,2.8,2.6,2.7,3.0,3.3,3.6,4.0,4.1,4.5,4.8,5.2,5.0,5.6,6.2,6.8,7.0,7.8,10.2,11.1,12.0,12.4,12.2,14.3,15.3,18.0,24.7,28.8,29.9,35.5,37.7,41.5,42.2,45.0,49.4,55.0,64.9,72.9,82.9,91.7,101.4,109.6,110.7,112.0,116.1,105.8,109.8,110.5,108.5,111.2,99.6,99.7,104.2,96.0,96.8,102.0,111.2,120.5
"7","            Motor vehicle parts and accessories (58)",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.3,0.4,0.4,0.7,1.4,1.4,1.3,1.2,1.5,1.5,1.6,1.5,1.3,1.6,1.7,2.0,2.1,2.4,2.5,2.6,2.8,3.0,3.2,3.5,3.8,4.0,4.6,5.4,6.1,7.1,8.0,8.9,9.5,10.3,11.4,12.9,14.4,16.3,17.9,19.6,20.4,22.1,22.8,23.5,23.5,23.9,26.3,27.0,28.3,27.8,28.7,30.8,33.7,35.4,37.6,39.1,39.5,41.1,41.8,41.3,41.7,44.1,47.1,50.6,53.4,56.2,54.8,51.8,55.5,59.6,62.0,64.1,65.4,67.0
"8","        Furnishings and durable household equipment",3.8,3.0,2.6,1.9,1.7,2.0,2.3,2.9,3.2,2.8,3.2,3.5,4.4,4.2,3.8,3.8,4.5,7.7,9.6,10.5,10.1,11.8,12.4,12.2,12.6,12.5,14.0,14.8,14.8,14.6,15.5,15.4,15.6,16.4,17.5,19.5,20.7,22.6,23.7,26.1,27.6,28.2,29.9,33.5,38.0,40.9,42.6,47.2,53.4,59.0,65.3,67.8,71.5,71.8,79.8,88.8,94.6,103.5,109.5,115.2,121.4,120.9,118.8,124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,235.2,254.3,271.3,283.6,283.5,268.7,244.3,250.4,260.7,271.4,281.6,292.1,305.1
"9","            Furniture and furnishings (parts of 31 and 32)",2.3,1.8,1.5,1.1,0.9,1.1,1.3,1.7,1.8,1.6,1.8,2.0,2.5,2.6,2.7,2.8,3.1,4.4,4.9,5.4,5.3,6.1,6.5,6.5,6.7,6.7,7.6,8.1,8.1,8.1,8.7,8.7,8.8,9.4,10.2,11.5,12.3,13.3,13.8,15.1,15.7,15.8,16.6,18.6,21.2,22.9,23.5,26.0,29.6,32.6,36.1,36.9,38.4,37.8,43.2,49.3,53.1,59.4,64.5,67.5,70.8,69.2,67.1,69.3,73.5,79.4,83.4,88.3,93.8,101.2,111.3,121.7,124.5,130.2,136.1,148.9,160.6,169.8,171.8,160.5,144.6,148.4,154.1,160.5,166.2,173.1,181.8
"10","            Household appliances (part of 33)",0.7,0.6,0.5,0.3,0.4,0.5,0.6,0.7,0.8,0.6,0.7,0.8,1.1,0.7,0.3,0.2,0.3,1.6,2.9,3.1,2.8,3.6,3.5,3.5,3.6,3.7,4.1,4.3,4.3,4.1,4.4,4.3,4.3,4.3,4.5,4.9,4.9,5.3,5.5,6.2,6.8,7.3,7.9,9.0,9.9,10.3,10.6,11.5,12.7,13.6,14.8,15.1,15.5,15.2,16.8,18.4,19.8,21.2,21.8,22.7,23.9,23.7,23.3,24.3,25.2,25.8,26.6,26.8,26.5,28.6,31.6,34.1,35.7,37.6,38.9,42.1,45.1,47.0,46.8,45.2,41.1,41.7,43.0,44.5,46.1,46.9,48.0
