"Table 2.5.5. Personal Consumption Expenditures by Function"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 03, 2016"
"Line"," ","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"1","            Personal consumption expenditures",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89.0,99.9,108.6,120.0,144.3,162.0,175.0,178.5,192.2,208.5,219.5,233.0,239.9,258.7,271.6,286.7,296.0,317.5,331.6,342.0,363.1,382.5,411.2,443.6,480.6,507.4,557.4,604.5,647.7,701.0,769.4,851.1,932.0,1032.8,1150.2,1276.7,1426.2,1589.5,1754.6,1937.5,2073.9,2286.5,2498.2,2722.7,2898.4,3092.1,3346.9,3592.8,3825.6,3960.2,4215.7,4471.0,4741.0,4984.2,5268.1,5560.7,5903.0,6307.0,6792.4,7103.1,7384.1,7765.5,8260.0,8794.1,9304.0,9750.5,10013.6,9847.0,10202.2,10689.3,11050.6,11361.2,11863.4,12283.7
"2","Household consumption expenditures 1",76.1,68.8,59.5,47.7,45.0,50.6,55.0,61.2,65.9,63.3,66.2,70.2,80.0,87.7,98.4,107.0,118.2,142.3,159.9,172.7,176.1,189.8,205.9,216.6,230.0,236.7,255.3,267.8,282.7,291.7,312.6,326.5,336.7,357.6,376.7,404.8,436.6,473.1,499.4,548.7,595.0,637.2,689.3,756.6,837.4,916.5,1015.7,1131.2,1256.0,1403.2,1563.4,1724.6,1903.4,2035.9,2245.8,2452.8,2674.8,2845.8,3036.4,3283.6,3524.8,3749.8,3880.0,4127.7,4380.9,4643.3,4881.9,5158.0,5455.1,5779.2,6168.8,6634.4,6924.0,7185.7,7560.0,8053.6,8583.8,9064.8,9501.7,9731.5,9571.0,9926.8,10414.3,10757.8,11056.3,11549.8,11955.8
"3","    Food and beverages purchased for off-premises consumption",16.3,14.8,11.9,9.0,9.5,11.7,13.3,15.1,16.0,15.1,15.2,15.9,18.2,21.6,24.3,26.0,28.2,34.9,40.2,41.8,40.4,41.4,46.0,48.4,49.3,50.6,52.0,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4,103.5,107.1,114.5,126.7,143.0,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277.0,291.1,303.0,316.4,324.3,342.8,365.4,391.2,403.0,404.5,413.5,432.1,443.7,461.9,474.8,487.4,515.5,540.6,564.0,575.1,599.6,632.6,668.2,700.3,737.3,772.9,770.0,788.9,829.1,848.8,857.5,891.4,900.7
"4","        Food and nonalcoholic beverages purchased for off-premises consumption",14.5,13.3,10.6,8.0,8.3,9.1,10.0,11.3,12.0,11.5,11.5,12.1,13.8,16.3,18.0,19.1,20.8,26.6,31.5,33.9,33.1,34.2,38.6,40.7,41.7,43.2,44.7,46.7,49.7,52.3,54.0,54.9,56.1,56.7,57.7,61.0,65.7,71.3,73.0,78.2,83.6,90.4,92.6,98.7,109.6,124.2,136.2,145.6,156.5,171.1,190.3,208.0,221.7,231.3,239.2,252.7,262.3,273.8,281.8,299.0,319.5,341.2,351.5,354.6,362.4,378.3,388.3,402.8,412.8,422.1,444.9,463.1,482.2,490.4,513.6,543.0,575.3,601.6,634.7,667.7,663.4,675.9,711.7,726.3,733.7,762.9,766.8
"5","        Alcoholic beverages purchased for off-premises consumption","---","---","---","---",0.2,1.5,2.0,2.5,2.6,2.4,2.4,2.6,3.0,3.6,4.0,4.7,5.1,5.7,5.9,5.2,5.0,5.1,5.1,5.5,5.6,5.6,5.7,5.9,5.9,6.0,6.4,6.5,6.6,7.0,7.3,7.6,7.9,8.5,8.9,9.9,11.0,12.3,13.8,14.9,16.0,17.7,19.2,20.5,22.1,23.8,26.8,30.0,32.4,34.7,36.8,37.4,39.7,41.7,41.8,43.1,45.3,49.3,50.9,49.3,50.5,53.3,55.0,58.7,61.6,65.0,70.2,77.1,81.5,84.4,85.7,89.3,92.6,98.2,102.2,104.7,106.1,112.6,117.0,122.1,123.3,127.9,133.3
"6","        Food produced and consumed on farms",1.7,1.6,1.3,1.0,1.0,1.1,1.3,1.4,1.4,1.2,1.2,1.2,1.4,1.8,2.3,2.2,2.4,2.7,2.8,2.7,2.2,2.1,2.3,2.2,2.0,1.8,1.7,1.6,1.5,1.5,1.3,1.1,1.1,1.0,0.9,0.8,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.9,1.1,1.2,1.1,1.2,1.2,1.2,1.3,1.2,1.2,1.1,1.0,1.0,0.9,0.9,0.7,0.7,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6
"7","    Clothing, footwear, and related services",10.1,8.8,7.5,5.5,5.1,6.1,6.5,7.1,7.4,7.4,7.7,8.1,9.5,11.8,14.4,15.7,17.6,19.7,20.4,21.8,21.1,21.4,23.1,23.9,24.2,24.3,25.4,26.5,26.8,27.1,28.6,29.3,29.9,31.3,32.1,34.7,36.5,39.8,41.7,45.6,48.8,49.9,53.4,58.0,63.7,66.9,71.4,76.9,84.3,94.6,101.9,108.8,119.1,122.7,132.9,144.7,154.3,165.1,176.4,188.1,201.2,206.5,210.1,223.0,231.1,240.1,244.7,253.5,262.0,273.1,287.2,297.5,294.6,295.2,301.5,313.5,326.6,336.3,339.7,335.4,321.6,335.8,354.6,370.1,380.0,387.8,396.8
"8","        Clothing",8.4,7.3,6.3,4.5,4.1,5.0,5.4,5.9,6.1,6.0,6.4,6.8,8.0,9.9,12.4,13.6,15.2,16.7,17.3,18.6,17.8,17.9,19.6,20.5,20.7,20.8,21.5,22.5,22.7,22.7,24.0,24.5,25.1,26.2,27.0,29.3,30.8,33.6,35.1,38.2,40.7,41.9,44.9,48.7,53.5,56.6,60.7,65.5,71.7,80.2,85.5,91.1,99.4,103.1,112.1,122.7,131.0,140.2,149.9,159.9,170.2,174.4,178.2,189.5,196.3,203.2,206.6,213.5,220.8,229.6,241.5,250.6,248.1,248.9,253.3,262.7,271.5,277.2,278.5,274.2,263.1,274.3,289.3,301.2,308.1,314.3,321.8
"9","            Garments",7.1,6.1,5.3,3.7,3.5,4.3,4.6,5.0,5.1,5.1,5.5,5.7,6.6,7.9,9.6,10.7,12.0,13.8,14.3,15.4,14.7,14.8,16.1,17.0,17.2,17.3,18.0,18.8,18.9,19.0,20.2,20.6,21.2,22.2,22.9,25.0,26.4,28.8,30.2,33.1,35.5,36.6,39.6,43.2,47.8,50.8,54.9,59.2,65.1,73.1,78.2,83.3,91.4,94.9,103.3,113.1,121.0,129.5,138.2,146.9,156.2,160.0,164.0,174.4,180.9,187.3,190.1,196.4,203.2,211.1,221.9,230.0,227.2,228.0,232.7,242.3,251.4,257.0,258.7,254.7,244.3,255.3,269.9,281.5,287.9,293.4,300.2
"10","                Women's and girls' clothing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",12.5,12.7,13.1,13.8,14.3,15.6,16.3,17.7,18.3,20.1,21.3,21.9,24.0,25.8,28.3,29.9,32.2,34.5,37.5,42.5,45.5,48.5,53.3,55.3,60.7,67.0,72.2,77.9,83.1,87.6,92.7,94.5,96.5,103.2,106.4,108.4,108.9,111.4,113.9,119.0,126.5,132.7,132.1,133.3,136.8,143.7,149.6,153.7,155.8,152.1,145.8,152.8,161.6,169.2,172.6,175.8,180.2
